map_label,num_detections,object_index,object_voxels,scale,scene,score__combined_mean,score__combined_top2_mean,score__foreign_owner_link_fraction,score__fragmentation,score__framebalanced_majority_entropy,score__framebalanced_majority_entropy_size_residual,score__framebalanced_mean_disagreement,score__framebalanced_mean_disagreement_size_residual,score__framebalanced_semantic_mean,score__frozen_combined_max,score__frozen_semantic_max,score__mean_owner_entropy,score__mean_owner_entropy_size_residual,score__multi_owner_voxel_fraction,score__nonspatial_owner_label_entropy,score__owner_overlap_mean,score__pair_conflict,score__persistent_conflict_fraction,score__semantic_mean,score__size_num_detections,score__size_object_voxels,score__voxel_majority_entropy,score__voxel_mean_disagreement,score__voxel_second_fraction,score__voxel_second_region,score__voxel_second_region_size_residual,score__voxel_vote_entropy,target__geometry_overmerge_2cm,target__geometry_overmerge_5cm,target__geometry_overmerge_7cm,target__geometry_partition_2cm,target__geometry_partition_5cm,target__geometry_partition_7cm,target__sidecar_conservative_association,target__sidecar_conservative_mask,target__sidecar_conservative_unified,target__sidecar_original_association,target__sidecar_original_mask,target__sidecar_original_unified,target__sidecar_strict_association,target__sidecar_strict_mask,target__sidecar_strict_unified
chair,2,47,40,0.05,room0,0.7214170692431562,0.8538647342995169,0.927536231884058,0.45652173913043476,0.9420289855072463,0.9565217391304348,1.0,1.0,0.9202898550724637,1.0,1.0,0.3333333333333333,0.17391304347826086,0.9420289855072463,1.0,0.7342995169082126,0.8188405797101449,0.9420289855072463,0.8888888888888888,0.2826086956521739,0.30434782608695654,0.8695652173913043,1.0,0.8260869565217391,0.7971014492753623,0.8115942028985508,0.7391304347826086,,,,,,,,0,0,0,0,1,0,0,1
armchair,389,48,859,0.05,room0,0.6602254428341384,0.7620772946859903,0.2318840579710145,0.45652173913043476,0.5507246376811594,0.5507246376811594,0.927536231884058,0.855072463768116,0.7391304347826086,0.9565217391304348,0.9565217391304348,0.2318840579710145,0.3333333333333333,0.2753623188405797,0.782608695652174,0.2463768115942029,0.8188405797101449,0.8405797101449275,0.7053140096618357,0.9420289855072463,0.8695652173913043,0.5217391304347826,0.9565217391304348,0.6231884057971014,0.6376811594202898,0.6231884057971014,0.6956521739130435,,,,,,,,1,1,0,1,1,0,1,1
pillow,1,49,21,0.05,room0,0.8494363929146537,0.9239130434782609,0.9710144927536232,0.9710144927536232,0.7246376811594203,0.7246376811594203,0.7246376811594203,0.8985507246376812,0.6847826086956522,0.9710144927536232,0.7246376811594203,0.7681159420289855,0.6231884057971014,0.9420289855072463,0.2391304347826087,0.893719806763285,0.8768115942028986,0.5797101449275363,0.7004830917874396,0.12318840579710146,0.13043478260869565,0.7246376811594203,0.6666666666666666,0.6666666666666666,0.7101449275362319,0.7391304347826086,0.7101449275362319,,,,,,,,0,0,,0,0,,0,0
pillow,215,50,108,0.05,room0,0.8252818035426731,0.9166666666666667,0.6811594202898551,0.9565217391304348,0.6521739130434783,0.5942028985507246,0.6956521739130435,0.5362318840579711,0.6485507246376812,0.9565217391304348,0.6521739130434783,0.782608695652174,0.855072463768116,0.6666666666666666,0.2391304347826087,0.7101449275362319,0.8768115942028986,0.6231884057971014,0.6425120772946861,0.8260869565217391,0.4927536231884058,0.6521739130434783,0.6521739130434783,0.782608695652174,0.6231884057971014,0.6376811594202898,0.7536231884057971,,,,,,,,1,1,1,1,1,,1,1
pillow,589,51,2030,0.05,room0,0.44847020933977455,0.4915458937198067,0.36231884057971014,0.45652173913043476,0.5362318840579711,0.5362318840579711,0.5652173913043478,0.4492753623188406,0.5434782608695652,0.5652173913043478,0.5652173913043478,0.391304347826087,0.6521739130434783,0.42028985507246375,0.6956521739130435,0.391304347826087,0.36231884057971014,0.5072463768115942,0.5265700483091788,0.9855072463768116,0.9565217391304348,0.5072463768115942,0.5072463768115942,0.5217391304347826,0.5652173913043478,0.5507246376811594,0.37681159420289856,,,,,,,0,1,1,1,1,1,0,1,1
lamp,193,52,157,0.05,room0,0.21336553945249595,0.28743961352657005,0.11594202898550725,0.45652173913043476,0.11594202898550725,0.043478260869565216,0.10144927536231885,0.028985507246376812,0.10869565217391305,0.45652173913043476,0.12318840579710146,0.14492753623188406,0.10144927536231885,0.3333333333333333,0.4927536231884058,0.19806763285024154,0.06521739130434782,0.09420289855072464,0.11835748792270533,0.7898550724637681,0.5362318840579711,0.11594202898550725,0.11594202898550725,0.11594202898550725,0.12318840579710146,0.028985507246376812,0.08695652173913043,,,,,,,,0,0,1,0,1,,0,0
pillow,4,53,54,0.05,room0,0.5426731078904993,0.6231884057971014,0.8985507246376812,0.45652173913043476,0.37681159420289856,0.36231884057971014,0.42028985507246375,0.4057971014492754,0.36050724637681164,0.7898550724637681,0.391304347826087,0.8405797101449275,0.8260869565217391,0.9420289855072463,0.2391304347826087,0.893719806763285,0.7898550724637681,0.26811594202898553,0.38164251207729477,0.39855072463768115,0.36231884057971014,0.37681159420289856,0.391304347826087,0.3333333333333333,0.37681159420289856,0.4057971014492754,0.2318840579710145,,,,,,,,0,0,1,0,1,,0,0
pillow,192,54,179,0.05,room0,0.5684380032206119,0.6243961352657005,0.5652173913043478,0.45652173913043476,0.5217391304347826,0.5072463768115942,0.391304347826087,0.2463768115942029,0.4420289855072464,0.7898550724637681,0.5072463768115942,0.7101449275362319,0.7681159420289855,0.6811594202898551,0.2391304347826087,0.6521739130434782,0.7898550724637681,0.34782608695652173,0.4589371980676329,0.7681159420289855,0.5652173913043478,0.4927536231884058,0.37681159420289856,0.463768115942029,0.5072463768115942,0.4927536231884058,0.3333333333333333,,,,,,,,0,0,1,0,1,,0,0
book,187,55,102,0.05,room0,0.6022544283413849,0.6751207729468599,0.6521739130434783,0.45652173913043476,0.8985507246376812,0.8695652173913043,0.6811594202898551,0.5797101449275363,0.7898550724637682,0.927536231884058,0.927536231884058,0.8985507246376812,0.9710144927536232,0.8695652173913043,0.6811594202898551,0.8067632850241546,0.5289855072463768,0.6521739130434783,0.821256038647343,0.7536231884057971,0.47101449275362317,0.9130434782608695,0.6231884057971014,0.9420289855072463,0.927536231884058,0.9130434782608695,0.4927536231884058,,,,,,,1,1,1,1,1,1,1,1,1
lamp,3,56,4,0.05,room0,0.5072463768115942,0.7137681159420289,0.5362318840579711,0.45652173913043476,0.11594202898550725,0.057971014492753624,0.043478260869565216,0.043478260869565216,0.09420289855072464,0.9710144927536232,0.12318840579710146,0.855072463768116,0.6811594202898551,0.6014492753623188,0.2391304347826087,0.6642512077294686,0.9710144927536232,0.09420289855072464,0.09420289855072463,0.35507246376811596,0.014492753623188406,0.11594202898550725,0.043478260869565216,0.11594202898550725,0.12318840579710146,0.17391304347826086,0.043478260869565216,,,,,,,,0,0,,0,0,,0,0
book,148,57,188,0.05,room0,0.6892109500805152,0.8055555555555556,0.463768115942029,0.45652173913043476,0.8840579710144928,0.8840579710144928,0.855072463768116,0.8260869565217391,0.8586956521739131,0.9420289855072463,0.9420289855072463,0.5797101449275363,0.6956521739130435,0.4782608695652174,0.7536231884057971,0.5072463768115942,0.7318840579710145,0.7536231884057971,0.8792270531400966,0.6811594202898551,0.6231884057971014,0.8985507246376812,0.7971014492753623,0.9565217391304348,0.9420289855072463,0.927536231884058,0.6231884057971014,,,,,,,0,1,1,1,1,1,0,1,1
lamp,1,58,6,0.05,room0,0.5144927536231884,0.7246376811594203,0.5942028985507246,0.45652173913043476,0.11594202898550725,0.11594202898550725,0.043478260869565216,0.08695652173913043,0.09420289855072464,0.9927536231884058,0.12318840579710146,0.8695652173913043,0.7101449275362319,0.6014492753623188,0.2391304347826087,0.6884057971014492,0.9927536231884058,0.09420289855072464,0.09420289855072463,0.12318840579710146,0.036231884057971016,0.11594202898550725,0.043478260869565216,0.11594202898550725,0.12318840579710146,0.2318840579710145,0.043478260869565216,,,,,,,,0,0,,0,0,,0,0
lamp,2,59,32,0.05,room0,0.41062801932367154,0.5688405797101449,0.4492753623188406,0.45652173913043476,0.11594202898550725,0.10144927536231885,0.043478260869565216,0.07246376811594203,0.09420289855072464,0.6811594202898551,0.12318840579710146,0.6666666666666666,0.5072463768115942,0.463768115942029,0.2391304347826087,0.5265700483091788,0.6811594202898551,0.09420289855072464,0.09420289855072463,0.2826086956521739,0.1956521739130435,0.11594202898550725,0.043478260869565216,0.11594202898550725,0.12318840579710146,0.11594202898550725,0.043478260869565216,,,,,,,,0,0,0,0,1,,0,0
lamp,2,60,92,0.05,room0,0.5531400966183575,0.7065217391304348,0.5507246376811594,0.45652173913043476,0.2898550724637681,0.2898550724637681,0.08695652173913043,0.14492753623188406,0.25181159420289856,0.9565217391304348,0.36231884057971014,0.8260869565217391,0.8695652173913043,0.5072463768115942,0.2391304347826087,0.6280193236714976,0.9565217391304348,0.26811594202898553,0.24637681159420288,0.2826086956521739,0.42028985507246375,0.2898550724637681,0.08695652173913043,0.2898550724637681,0.36231884057971014,0.36231884057971014,0.2753623188405797,,,,,,,,0,0,0,0,0,,0,0
sofa chair,2,61,6,0.05,room0,0.20531400966183574,0.2753623188405797,0.036231884057971016,0.45652173913043476,0.11594202898550725,0.08695652173913043,0.043478260869565216,0.057971014492753624,0.09420289855072464,0.45652173913043476,0.12318840579710146,0.036231884057971016,0.014492753623188406,0.036231884057971016,0.2391304347826087,0.036231884057971016,0.06521739130434782,0.09420289855072464,0.09420289855072463,0.2826086956521739,0.036231884057971016,0.11594202898550725,0.043478260869565216,0.11594202898550725,0.12318840579710146,0.2028985507246377,0.043478260869565216,,,,,,,,0,0,,0,0,,0,0
book,82,62,72,0.05,room0,0.6344605475040258,0.7234299516908214,0.4782608695652174,0.45652173913043476,0.7391304347826086,0.6956521739130435,0.8405797101449275,0.7681159420289855,0.7318840579710144,0.8115942028985508,0.8115942028985508,0.927536231884058,0.9565217391304348,0.8260869565217391,0.6666666666666666,0.7439613526570049,0.7318840579710145,0.7681159420289855,0.7149758454106281,0.6086956521739131,0.4057971014492754,0.7536231884057971,0.8115942028985508,0.6956521739130435,0.5797101449275363,0.6086956521739131,0.6376811594202898,,,,,,,0,0,1,1,0,1,0,1,1
end table,22,63,423,0.05,room0,0.32769726247987113,0.3828502415458937,0.34782608695652173,0.45652173913043476,0.30434782608695654,0.3188405797101449,0.30434782608695654,0.37681159420289856,0.322463768115942,0.45652173913043476,0.34782608695652173,0.18840579710144928,0.2608695652173913,0.21739130434782608,0.8695652173913043,0.25120772946859904,0.21739130434782608,0.3333333333333333,0.30917874396135264,0.43478260869565216,0.7971014492753623,0.30434782608695654,0.2753623188405797,0.30434782608695654,0.34782608695652173,0.34782608695652173,0.3188405797101449,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1
power outlet,66,64,34,0.05,room0,0.5491143317230274,0.5954106280193237,0.2753623188405797,0.45652173913043476,0.4927536231884058,0.4782608695652174,0.5217391304347826,0.463768115942029,0.4927536231884058,0.7028985507246377,0.5507246376811594,0.7246376811594203,0.6376811594202898,0.782608695652174,0.5217391304347826,0.5942028985507246,0.7028985507246377,0.4057971014492754,0.48792270531400966,0.5217391304347826,0.21739130434782608,0.4782608695652174,0.43478260869565216,0.4782608695652174,0.5507246376811594,0.5652173913043478,0.17391304347826086,,,,,,,,0,0,1,0,1,0,0,1
lamp,1,65,64,0.05,room0,0.5257648953301127,0.5603864734299517,0.8260869565217391,0.45652173913043476,0.7101449275362319,0.7391304347826086,0.17391304347826086,0.2753623188405797,0.5253623188405797,0.9130434782608695,0.9130434782608695,0.8115942028985508,0.782608695652174,0.5797101449275363,0.2391304347826087,0.7391304347826088,0.4927536231884058,0.30434782608695654,0.6280193236714976,0.12318840579710146,0.37681159420289856,0.7101449275362319,0.2608695652173913,0.6521739130434783,0.9130434782608695,0.9420289855072463,0.9565217391304348,,,,,,,,0,0,,0,0,,0,0
lamp,1,67,37,0.05,room0,0.817230273752013,0.8743961352657006,0.8695652173913043,1.0,1.0,1.0,0.3188405797101449,0.43478260869565216,0.6666666666666667,1.0,1.0,0.9565217391304348,0.927536231884058,0.8405797101449275,0.2391304347826087,0.8888888888888888,0.7028985507246377,0.391304347826087,0.7487922705314011,0.12318840579710146,0.2898550724637681,1.0,0.2898550724637681,0.9855072463768116,0.9565217391304348,0.9855072463768116,0.391304347826087,,,,,,,,0,0,,0,0,,0,0
end table,2,68,184,0.05,room0,0.42270531400966177,0.5579710144927537,0.391304347826087,0.45652173913043476,0.11594202898550725,0.21739130434782608,0.2318840579710145,0.3188405797101449,0.2916666666666667,0.6594202898550725,0.21739130434782608,0.5217391304347826,0.5652173913043478,0.36231884057971014,0.2391304347826087,0.42512077294685985,0.6594202898550725,0.6956521739130435,0.15217391304347824,0.2826086956521739,0.5869565217391305,0.11594202898550725,0.21739130434782608,0.11594202898550725,0.12318840579710146,0.07246376811594203,0.2608695652173913,,,,,,,,0,0,,1,1,,1,1
lamp,1,69,29,0.05,room0,0.642512077294686,0.7355072463768115,0.6666666666666666,0.45652173913043476,0.463768115942029,0.4927536231884058,0.34782608695652173,0.42028985507246375,0.3894927536231884,0.9927536231884058,0.6521739130434783,0.9855072463768116,0.8840579710144928,0.6956521739130435,0.2391304347826087,0.7826086956521738,0.9927536231884058,0.09420289855072464,0.47826086956521735,0.12318840579710146,0.15942028985507245,0.463768115942029,0.3188405797101449,0.4492753623188406,0.6521739130434783,0.6811594202898551,0.2463768115942029,,,,,,,,0,0,,0,0,,0,0
lamp,1,70,32,0.05,room0,0.5636070853462157,0.6388888888888888,0.855072463768116,0.45652173913043476,0.6376811594202898,0.6521739130434783,0.4492753623188406,0.5507246376811594,0.7572463768115942,1.0,1.0,0.2463768115942029,0.043478260869565216,0.43478260869565216,0.2391304347826087,0.5120772946859904,0.41304347826086957,0.9420289855072463,0.821256038647343,0.12318840579710146,0.1956521739130435,0.6376811594202898,0.8260869565217391,0.7101449275362319,1.0,1.0,0.9130434782608695,,,,,,,,0,0,,0,0,,0,0
blinds,310,71,5519,0.05,room0,0.6384863123993559,0.7717391304347826,0.13043478260869565,0.927536231884058,0.34782608695652173,0.3333333333333333,0.3333333333333333,0.18840579710144928,0.3333333333333333,0.927536231884058,0.4492753623188406,0.17391304347826086,0.34782608695652173,0.15942028985507245,0.6376811594202898,0.15458937198067632,0.6159420289855072,0.2028985507246377,0.37198067632850246,0.927536231884058,1.0,0.3333333333333333,0.3333333333333333,0.4057971014492754,0.4492753623188406,0.43478260869565216,0.18840579710144928,,,,,,,,0,0,1,0,1,,0,0
trash bin,207,0,209,0.05,office0,0.4646464646464647,0.48484848484848486,0.3939393939393939,0.4696969696969697,0.36363636363636365,0.36363636363636365,0.6060606060606061,0.3333333333333333,0.48484848484848486,0.5454545454545454,0.5454545454545454,0.6060606060606061,0.6363636363636364,0.5454545454545454,0.8484848484848485,0.5151515151515151,0.5,0.5454545454545454,0.42424242424242425,0.8181818181818182,0.5909090909090909,0.30303030303030304,0.5454545454545454,0.30303030303030304,0.42424242424242425,0.45454545454545453,0.45454545454545453,,,,,,,1,1,1,1,1,1,1,1,1
sofa chair,240,1,1572,0.05,office0,0.5858585858585859,0.6439393939393939,0.5757575757575758,0.4696969696969697,0.6060606060606061,0.6060606060606061,0.6363636363636364,0.2727272727272727,0.6060606060606061,0.7121212121212122,0.6666666666666666,0.6363636363636364,0.6666666666666666,0.7878787878787878,0.696969696969697,0.6666666666666666,0.7121212121212122,0.5151515151515151,0.5757575757575757,0.9090909090909091,0.9090909090909091,0.5757575757575758,0.48484848484848486,0.7272727272727273,0.6666666666666666,0.6363636363636364,0.42424242424242425,,,,,,,1,1,1,1,1,1,1,1,1
trash bin,307,2,209,0.05,office0,0.5589225589225589,0.6035353535353536,0.42424242424242425,0.4696969696969697,0.6666666666666666,0.6666666666666666,0.9090909090909091,0.696969696969697,0.7803030303030303,0.9090909090909091,0.9090909090909091,0.5151515151515151,0.5454545454545454,0.5151515151515151,0.8181818181818182,0.48484848484848486,0.5,0.9393939393939394,0.7070707070707071,1.0,0.5909090909090909,0.6060606060606061,0.9090909090909091,0.5757575757575758,0.6060606060606061,0.6666666666666666,0.5454545454545454,,,,,,,1,1,1,1,1,1,1,1,1
chair,225,3,333,0.05,office0,0.3501683501683502,0.4267676767676768,0.16666666666666666,0.4696969696969697,0.30303030303030304,0.30303030303030304,0.6666666666666666,0.42424242424242425,0.5227272727272727,0.5757575757575758,0.5757575757575758,0.16666666666666666,0.2727272727272727,0.16666666666666666,0.6060606060606061,0.16666666666666666,0.19696969696969696,0.7878787878787878,0.38383838383838387,0.8787878787878788,0.6363636363636364,0.24242424242424243,0.5757575757575758,0.24242424242424243,0.3333333333333333,0.3939393939393939,0.5151515151515151,,,,,,,1,1,1,1,1,1,1,1,1
tv,159,4,1421,0.05,office0,0.5824915824915825,0.696969696969697,0.48484848484848486,0.4696969696969697,0.3333333333333333,0.3333333333333333,0.30303030303030304,0.12121212121212122,0.3560606060606061,0.9242424242424242,0.48484848484848486,0.5757575757575758,0.5757575757575758,0.42424242424242425,0.45454545454545453,0.494949494949495,0.9242424242424242,0.30303030303030304,0.35353535353535354,0.7272727272727273,0.8181818181818182,0.3333333333333333,0.24242424242424243,0.45454545454545453,0.48484848484848486,0.48484848484848486,0.15151515151515152,,,,,,,1,1,1,1,1,1,1,1,1
coffee table,218,5,423,0.05,office0,0.8232323232323232,0.9015151515151516,0.5151515151515151,0.9696969696969697,0.7575757575757576,0.7575757575757576,0.8181818181818182,0.7272727272727273,0.6818181818181818,0.9696969696969697,0.7575757575757576,0.696969696969697,0.696969696969697,0.6363636363636364,0.6666666666666666,0.6161616161616162,0.8333333333333334,0.6363636363636364,0.6666666666666666,0.8484848484848485,0.696969696969697,0.7575757575757576,0.7272727272727273,0.6363636363636364,0.5151515151515151,0.5757575757575758,0.3939393939393939,,,,,,,1,1,1,1,1,1,1,1,1
power outlet,31,6,11,0.05,office0,0.5117845117845118,0.547979797979798,0.6060606060606061,0.4696969696969697,0.12121212121212122,0.21212121212121213,0.696969696969697,0.8181818181818182,0.48484848484848486,0.7878787878787878,0.7878787878787878,0.8484848484848485,0.8484848484848485,0.8484848484848485,1.0,0.7676767676767677,0.4393939393939394,0.48484848484848486,0.6262626262626263,0.4393939393939394,0.09090909090909091,0.7878787878787878,0.45454545454545453,0.6666666666666666,0.6363636363636364,0.6060606060606061,0.6666666666666666,,,,,,,0,0,1,1,1,1,0,1,1
closet door,150,7,1351,0.05,office0,0.521885521885522,0.547979797979798,0.3333333333333333,0.4696969696969697,0.42424242424242425,0.42424242424242425,0.8484848484848485,0.8787878787878788,0.6060606060606061,0.7575757575757576,0.7575757575757576,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.5757575757575758,0.35353535353535354,0.6212121212121212,0.8484848484848485,0.4747474747474747,0.696969696969697,0.7878787878787878,0.36363636363636365,0.7575757575757576,0.48484848484848486,0.30303030303030304,0.30303030303030304,0.36363636363636365,,,,,,,1,1,1,1,1,1,1,1,1
chair,246,8,350,0.05,office0,0.43771043771043777,0.5580808080808082,0.16666666666666666,0.4696969696969697,0.5757575757575758,0.5757575757575758,0.9696969696969697,0.8484848484848485,0.7045454545454546,0.9393939393939394,0.9393939393939394,0.16666666666666666,0.30303030303030304,0.16666666666666666,0.7575757575757576,0.16666666666666666,0.19696969696969696,0.8181818181818182,0.6464646464646465,0.9393939393939394,0.6666666666666666,0.5454545454545454,0.9393939393939394,0.5454545454545454,0.45454545454545453,0.5454545454545454,0.6363636363636364,,,,,,,0,1,1,0,1,1,0,1,1
speaker,66,9,85,0.05,office0,0.7508417508417509,0.8914141414141414,0.7575757575757576,0.4696969696969697,0.9090909090909091,0.9090909090909091,0.8787878787878788,0.9393939393939394,0.8257575757575758,0.9242424242424242,0.9090909090909091,1.0,1.0,0.9696969696969697,0.9696969696969697,0.9090909090909092,0.9242424242424242,0.6666666666666666,0.8585858585858586,0.5757575757575758,0.3333333333333333,0.9090909090909091,0.8181818181818182,1.0,0.8484848484848485,0.9393939393939394,0.9696969696969697,,,,,,,1,1,1,1,1,1,1,1,1
picture,63,10,24,0.05,office0,0.2558922558922559,0.33333333333333337,0.16666666666666666,0.4696969696969697,0.12121212121212122,0.15151515151515152,0.07575757575757576,0.030303030303030304,0.11363636363636363,0.4696969696969697,0.12121212121212122,0.16666666666666666,0.18181818181818182,0.16666666666666666,0.19696969696969696,0.16666666666666666,0.19696969696969696,0.13636363636363635,0.10101010101010101,0.5454545454545454,0.16666666666666666,0.10606060606060606,0.07575757575757576,0.10606060606060606,0.12121212121212122,0.21212121212121213,0.07575757575757576,,,,,,,1,1,1,1,1,1,1,1,1
picture,2,11,1562,0.05,office0,0.4343434343434343,0.4545454545454546,0.8484848484848485,0.4696969696969697,0.48484848484848486,0.45454545454545453,0.15151515151515152,0.24242424242424243,0.4696969696969697,0.5454545454545454,0.5454545454545454,0.42424242424242425,0.42424242424242425,0.3939393939393939,0.19696969696969696,0.5555555555555555,0.4393939393939394,0.696969696969697,0.39393939393939387,0.25757575757575757,0.8787878787878788,0.42424242424242425,0.21212121212121213,0.36363636363636365,0.5454545454545454,0.42424242424242425,0.8484848484848485,,,,,,,,0,0,,0,0,,0,0
storage bin,4,12,195,0.05,office0,0.6902356902356903,0.8005050505050506,1.0,0.4696969696969697,0.3939393939393939,0.3939393939393939,1.0,1.0,0.6363636363636364,1.0,1.0,0.7878787878787878,0.7575757575757576,1.0,0.9393939393939394,0.9292929292929294,0.9848484848484849,0.7575757575757576,0.6161616161616162,0.30303030303030304,0.48484848484848486,0.45454545454545453,1.0,0.42424242424242425,0.3939393939393939,0.36363636363636365,0.696969696969697,0,0,0,1,1,1,,1,1,,1,1,,1,1
stuffed animal,135,13,458,0.05,office0,0.430976430976431,0.547979797979798,0.16666666666666666,0.4696969696969697,0.8484848484848485,0.8484848484848485,0.5757575757575758,0.5151515151515151,0.6515151515151516,0.7272727272727273,0.7272727272727273,0.16666666666666666,0.24242424242424243,0.16666666666666666,0.7878787878787878,0.16666666666666666,0.19696969696969696,0.45454545454545453,0.6262626262626263,0.6363636363636364,0.7272727272727273,0.7272727272727273,0.42424242424242425,0.7878787878787878,0.7272727272727273,0.696969696969697,0.5757575757575758,,,,,,,1,1,1,1,1,1,1,1,1
potted plant,174,14,1773,0.05,office0,0.6127946127946128,0.7272727272727273,0.45454545454545453,0.4696969696969697,0.5151515151515151,0.5151515151515151,0.5454545454545454,0.30303030303030304,0.4166666666666667,0.9848484848484849,0.5151515151515151,0.7272727272727273,0.7272727272727273,0.8181818181818182,0.7272727272727273,0.6666666666666666,0.9848484848484849,0.36363636363636365,0.3838383838383838,0.7575757575757576,0.9393939393939394,0.5151515151515151,0.3939393939393939,0.3939393939393939,0.24242424242424243,0.2727272727272727,0.48484848484848486,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
refrigerator,111,15,1990,0.05,office0,0.4461279461279461,0.4722222222222222,0.36363636363636365,0.4696969696969697,0.5454545454545454,0.5454545454545454,0.5151515151515151,0.48484848484848486,0.5075757575757576,0.5757575757575758,0.5757575757575758,0.3939393939393939,0.3939393939393939,0.3333333333333333,0.6363636363636364,0.3636363636363636,0.3939393939393939,0.3939393939393939,0.47474747474747475,0.6060606060606061,0.9696969696969697,0.48484848484848486,0.36363636363636365,0.5151515151515151,0.5757575757575758,0.5151515151515151,0.30303030303030304,,,,,,,1,1,1,1,1,1,1,1,1
potted plant,5,16,78,0.05,office0,0.2558922558922559,0.33333333333333337,0.16666666666666666,0.4696969696969697,0.12121212121212122,0.030303030303030304,0.07575757575757576,0.09090909090909091,0.11363636363636363,0.4696969696969697,0.12121212121212122,0.16666666666666666,0.09090909090909091,0.16666666666666666,0.19696969696969696,0.16666666666666666,0.19696969696969696,0.13636363636363635,0.10101010101010101,0.3484848484848485,0.30303030303030304,0.10606060606060606,0.07575757575757576,0.10606060606060606,0.12121212121212122,0.09090909090909091,0.07575757575757576,,,,,,,0,0,1,0,0,1,0,0,1
power outlet,31,17,22,0.05,office0,0.2676767676767677,0.33333333333333337,0.16666666666666666,0.4696969696969697,0.12121212121212122,0.18181818181818182,0.24242424242424243,0.15151515151515152,0.1553030303030303,0.4696969696969697,0.18181818181818182,0.16666666666666666,0.12121212121212122,0.16666666666666666,0.42424242424242425,0.16666666666666666,0.19696969696969696,0.13636363636363635,0.13636363636363638,0.4393939393939394,0.12121212121212122,0.10606060606060606,0.18181818181818182,0.10606060606060606,0.12121212121212122,0.15151515151515152,0.24242424242424243,,,,,,,0,0,1,0,1,1,0,1,1
mat,47,18,176,0.05,office0,0.30303030303030304,0.3560606060606061,0.16666666666666666,0.4696969696969697,0.2727272727272727,0.2727272727272727,0.42424242424242425,0.36363636363636365,0.2727272727272727,0.4696969696969697,0.3333333333333333,0.16666666666666666,0.15151515151515152,0.16666666666666666,0.48484848484848486,0.16666666666666666,0.19696969696969696,0.2727272727272727,0.2424242424242424,0.48484848484848486,0.45454545454545453,0.2727272727272727,0.3333333333333333,0.2727272727272727,0.12121212121212122,0.12121212121212122,0.2727272727272727,,,,,,,0,1,1,0,1,1,0,1,1
potted plant,1,19,49,0.05,office0,0.2558922558922559,0.33333333333333337,0.16666666666666666,0.4696969696969697,0.12121212121212122,0.06060606060606061,0.07575757575757576,0.21212121212121213,0.11363636363636363,0.4696969696969697,0.12121212121212122,0.16666666666666666,0.06060606060606061,0.16666666666666666,0.19696969696969696,0.16666666666666666,0.19696969696969696,0.13636363636363635,0.10101010101010101,0.12121212121212122,0.21212121212121213,0.10606060606060606,0.07575757575757576,0.10606060606060606,0.12121212121212122,0.030303030303030304,0.07575757575757576,0,0,0,0,0,0,,0,0,,0,0,,0,0
potted plant,5,20,963,0.05,office0,0.5370370370370371,0.6742424242424243,0.9696969696969697,0.4696969696969697,0.24242424242424243,0.24242424242424243,0.36363636363636365,0.45454545454545453,0.30303030303030304,0.8787878787878788,0.30303030303030304,0.8787878787878788,0.8787878787878788,0.9090909090909091,0.19696969696969696,0.9191919191919192,0.8787878787878788,0.3333333333333333,0.2626262626262626,0.3484848484848485,0.7575757575757576,0.21212121212121213,0.30303030303030304,0.21212121212121213,0.2727272727272727,0.24242424242424243,0.21212121212121213,1,1,1,1,1,1,,0,0,0,1,1,,1,1
sofa chair,272,21,2477,0.05,office0,0.7895622895622895,0.8282828282828283,0.696969696969697,0.9393939393939394,0.7272727272727273,0.7272727272727273,0.7878787878787878,0.6060606060606061,0.7272727272727273,0.9393939393939394,0.8181818181818182,0.45454545454545453,0.48484848484848486,0.6666666666666666,0.5454545454545454,0.6060606060606061,0.7121212121212122,0.5757575757575758,0.7171717171717172,0.9696969696969697,1.0,0.696969696969697,0.6363636363636364,0.9696969696969697,0.8181818181818182,0.9090909090909091,0.3333333333333333,,,,,,,1,1,1,1,1,1,1,1,1
power outlet,1,22,8,0.05,office0,0.5387205387205387,0.7095959595959596,0.6666666666666666,0.4696969696969697,1.0,1.0,0.48484848484848486,0.7878787878787878,0.6515151515151515,1.0,1.0,0.9393939393939394,0.9393939393939394,0.7272727272727273,0.19696969696969696,0.7777777777777778,0.19696969696969696,0.13636363636363635,0.9494949494949495,0.12121212121212122,0.06060606060606061,1.0,0.8636363636363636,0.9393939393939394,0.9848484848484849,0.9696969696969697,0.9393939393939394,,,,,,,,0,0,,0,0,,0,0
paper bag,13,23,200,0.05,office0,0.5656565656565656,0.6212121212121212,0.5454545454545454,0.4696969696969697,0.45454545454545453,0.48484848484848486,0.7575757575757576,0.9090909090909091,0.5454545454545455,0.7727272727272727,0.6060606060606061,0.8181818181818182,0.8181818181818182,0.8787878787878788,0.8787878787878788,0.7474747474747474,0.7727272727272727,0.6060606060606061,0.4545454545454546,0.3939393939393939,0.5454545454545454,0.3939393939393939,0.6060606060606061,0.3333333333333333,0.36363636363636365,0.3333333333333333,0.7878787878787878,,,,,,,0,0,1,1,0,1,0,0,1
